lncrna	Interacting partner	Interaction Class	Interaction Mode	Organism	Description	Tissue	Phenotype	Method	Pubmed id
ICR1	FLO8	RNA-Protein	Binding	Saccharomyces cerevisiae	the ncRNA ICR1 modulates alternative FLO11 expression states by controlling Flo8 recruitment to the FLO11 promoter 	Yeast strains	NULL	FISH, ChIP, RT-qPCR 	22264825
IFNG-AS1	STAT4	DNA-TF	Regulation	Homo sapiens	Tmevpg1 is regulated by Th1 transcription factors	Th1	NULL	in vitro	22851706
IFNG-AS1	TBX21	DNA-TF	Regulation	Homo sapiens	Tmevpg1 is regulated by Th1 transcription factors	Th1	NULL	in vitro	22851706
IFNG-AS1	NFKB1	RNA-TF	Regulation	Homo sapiens	Here, we show that T-bet guides epigenetic remodeling of Tmevpg1 proximal and distal enhancers leading to recruitment of stimulus-inducible transcription factors, NF-	Jurkat T cells	NULL	ISH and Luciferase Assay	25225667
IFNG-AS1	ETS1	RNA-TF	Regulation	Homo sapiens	Here, we show that T-bet guides epigenetic remodeling of Tmevpg1 proximal and distal enhancers leading to recruitment of stimulus-inducible transcription factors, NF-	Jurkat T cells	NULL	ISH and Luciferase Assay	25225667
IFNG-AS1	WDR5	RNA-Protein	Binding	Homo sapiens	NeST RNA was found to bind WDR5, a component of the histone H3 lysine 4 methyltransferase complex, and to alter histone 3 methylation at the IFN-	Macrophage, T cells	NeST Increases Chromatin modification at the Ifng Locus	qRT-PCR, RNAi and ChIP-seq 	23498947
IPS1	MIR399F	RNA-RNA	Regulation	Arabidopsis thaliana	the IPS1-miR-399 interaction is direct,suggesting a model in which IPS1 sequesters miR-399 through complementary interaction.	NULL	NULL	in vitro	17643101
IPW	EHMT2	RNA-Protein	Binding	Homo sapiens	Our results indicate that IPW interacts with G9A, thus providing strong mechanistic evidence for the function of IPW in establishing the H3K9me3 modification at the IG-DMR of the DLK1-DIO3 locus.	PWS primary fibroblast cell lines,  293T cells 	NULL	ChIP and RIP	24816254
IRT1	SET2	RNA-Protein	Binding	Saccharomyces cerevisiae	lncRNA IRT1, located in the IME1 promoter. IRT1 transcription recruits the Set2 histone methyltransferase and the Set3 histone deacetylase complex to establish repressive chromatin at the IME1 promoter. IME1 repression by IRT1 transcription requires Set2 and Set3 to establish a repressive chromatin state in the IME1 promoter to prevent transcription factor recruitment.	Yeast strains	transcription of two lncRNAs governs mating type control of gametogenesis in yeast	FISH, ChIP, RT-qPCR 	22959267
IRT1	SET3	RNA-Protein	Binding	Saccharomyces cerevisiae	lncRNA IRT1, located in the IME1 promoter. IRT1 transcription recruits the Set2 histone methyltransferase and the Set3 histone deacetylase complex to establish repressive chromatin at the IME1 promoter. IME1 repression by IRT1 transcription requires Set2 and Set3 to establish a repressive chromatin state in the IME1 promoter to prevent transcription factor recruitment.	Yeast strains	transcription of two lncRNAs governs mating type control of gametogenesis in yeast	FISH, ChIP, RT-qPCR 	22959267
IRT1	IME1	RNA-DNA	Binding	Saccharomyces cerevisiae	lncRNA IRT1, located in the IME1 promoter. IRT1 transcription recruits the Set2 histone methyltransferase and the Set3 histone deacetylase complex to establish repressive chromatin at the IME1 promoter. IME1 repression by IRT1 transcription requires Set2 and Set3 to establish a repressive chromatin state in the IME1 promoter to prevent transcription factor recruitment.	Yeast strains	transcription of two lncRNAs governs mating type control of gametogenesis in yeast	FISH, ChIP, RT-qPCR 	22959267
JADRR	BRCA1	RNA-Protein	Binding	Homo sapiens	lncRNA-JADE physically interacted with Brca1	NULL	tumor suppression	RIP	24097061
JPX	XIST	RNA-RNA	Regulation	Homo sapiens	Xist is controlled by two parallel RNA switches-Tsix for Xa and Jpx for Xi. Whereas Tsix represses Xist on Xa, Jpx activates Xist on Xi.	NULL	activate X inactivation	in vitro	21029862
Jpx	Ctcf	RNA-TF	Binding	Mus musculus	At the onset of XCI, Jpx RNA is upregulated, binds CTCF, and extricates CTCF from one Xist allele.	NULL	NULL	UV-RIP	23791181
Jpx	Xist	RNA-RNA	Regulation	Mus musculus	Jpx, which acts to upregulate Xist in trans at the Xic.	NULL	Deleting Jpx blocks XCI and is female-lethal.	in vitro	21029862
Kcnq1ot1	Dnmt1	RNA-Protein	Binding	Mus musculus	Kcnq1ot1 mediates transcriptional gene silencing by interacting with Dnmt1. Kcnq1ot1 recruits Dnmt1 to somatic DMRs by interacting with Dnmt1.	NULL	NULL	RIP	20573698
Kcnq1ot1	Ezh2	RNA-Protein	Binding	Mus musculus	Kcnqlot1 binds both PRC2 and G9a to promote H3K27me3 and H3K9me3, two different silencing histone marks	placenta,liver	kcnq1 imprinting	RIP	18951091
Kcnq1ot1	Suz12	RNA-Protein	Binding	Mus musculus	Kcnqlot1 binds both PRC2 and G9a to promote H3K27me3 and H3K9me3, two different silencing histone marks	placenta,liver	kcnq1 imprinting	RIP	18951091
Kcnq1ot1	H3f3a	RNA-Protein	Binding	Mus musculus	kcnq1ot1 interacts with both H3K9 and H3K27 methyltransferases	placenta,liver	NULL	RIP	18951091
Kcnq1ot1	Ehmt2	RNA-Protein	Binding	Mus musculus	Kcnqlot1 binds both PRC2 and G9a to promote H3K27me3 and H3K9me3, two different silencing histone marks	placenta,liver	kcnq1 imprinting	RIP	18951091
Kcnq1ot1	Kcnq1	RNA-DNA	Regulation	Mus musculus	Perhaps paternal expression of Kcnq1ot1 opens the chromatin and makes a tissue-specific silencer available to factors that repress Kcnq1	heart	NULL	in vitro	23028363
Kcnq1ot1	Cd81	RNA-DNA	Regulation	Mus musculus	we found a 2-fold enrichment of regions corresponding to the promoters of the imprinted genes Kcnq1, Cdkn1c, Cd81, Ascl2, and Osbpl5	placenta,liver	NULL	ChRIP	18951091
Kcnq1ot1	Cdkn1c	RNA-DNA	Regulation	Mus musculus	we found a 2-fold enrichment of regions corresponding to the promoters of the imprinted genes Kcnq1, Cdkn1c, Cd81, Ascl2, and Osbpl5	placenta,liver	NULL	ChRIP	18951091
Kcnq1ot1	Kcnq1	RNA-DNA	Regulation	Mus musculus	we found a 2-fold enrichment of regions corresponding to the promoters of the imprinted genes Kcnq1, Cdkn1c, Cd81, Ascl2, and Osbpl5	placenta,liver	NULL	ChRIP	18951091
Kcnq1ot1	Ascl2	RNA-DNA	Regulation	Mus musculus	we found a 2-fold enrichment of regions corresponding to the promoters of the imprinted genes Kcnq1, Cdkn1c, Cd81, Ascl2, and Osbpl5	placenta,liver	NULL	ChRIP	18951091
Kcnq1ot1	Osbpl5	RNA-DNA	Regulation	Mus musculus	we found a 2-fold enrichment of regions corresponding to the promoters of the imprinted genes Kcnq1, Cdkn1c, Cd81, Ascl2, and Osbpl5	placenta,liver	NULL	ChRIP	18951091
Kcnq1ot1	Tbx5	DNA-TF	Binding	Mus musculus	The Tbx5 fragment also contacts the Kcnq1ot1 promoter and a CTCF binding site 211 kb upstream	NULL	NULL	ChIP, MeDIP and 3C assays 	25539921
KCNQ1OT1	EZH2	RNA-Protein	Binding	Homo sapiens	Kcnqlot1 binds both PRC2 and G9a to promote H3K27me3 and H3K9me3, two different silencing histone marks	placenta,liver	kcnq1 imprinting	RIP	18951091
KCNQ1OT1	EHMT2	RNA-Protein	Binding	Homo sapiens	Kcnqlot1 binds both PRC2 and G9a to promote H3K27me3 and H3K9me3, two different silencing histone marks	placenta,liver	kcnq1 imprinting	RIP	18951091
KCNQ1OT1	SUZ12	RNA-Protein	Binding	Homo sapiens	Kcnqlot1 binds both PRC2 and G9a to promote H3K27me3 and H3K9me3, two different silencing histone marks	placenta,liver	kcnq1 imprinting	RIP	18951091
KCNQ1OT1	H3F3A	RNA-Protein	Binding	Homo sapiens	kcnq1ot1 interacts with both H3K9 and H3K27 methyltransferases	placenta,liver	NULL	RIP	18951091
KCNQ1OT1	ASCL2	RNA-DNA	Regulation	Homo sapiens	we found a 2-fold enrichment of regions corresponding to the promoters of the imprinted genes Kcnq1, Cdkn1c, Cd81, Ascl2, and Osbpl5	placenta,liver	NULL	ChRIP	18951091
KCNQ1OT1	CD81	RNA-DNA	Regulation	Homo sapiens	we found a 2-fold enrichment of regions corresponding to the promoters of the imprinted genes Kcnq1, Cdkn1c, Cd81, Ascl2, and Osbpl5	placenta,liver	NULL	ChRIP	18951091
KCNQ1OT1	CDKN1C	RNA-DNA	Regulation	Homo sapiens	we found a 2-fold enrichment of regions corresponding to the promoters of the imprinted genes Kcnq1, Cdkn1c, Cd81, Ascl2, and Osbpl5	placenta,liver	NULL	ChRIP	18951091
KCNQ1OT1	KCNQ1	RNA-DNA	Regulation	Homo sapiens	we found a 2-fold enrichment of regions corresponding to the promoters of the imprinted genes Kcnq1, Cdkn1c, Cd81, Ascl2, and Osbpl5	placenta,liver	NULL	ChRIP	18951091
KCNQ1OT1	OSBPL5	RNA-DNA	Regulation	Homo sapiens	we found a 2-fold enrichment of regions corresponding to the promoters of the imprinted genes Kcnq1, Cdkn1c, Cd81, Ascl2, and Osbpl5	placenta,liver	NULL	ChRIP	18951091
KCNQ1OT1	EZH2	RNA-Protein	Binding	Homo sapiens	ChIP-on-chip data profiling of H3K27me3 and EZH2 across the Kcnq1 domain showed that H3K27me3 and EZH2 occupancy remain unchanged over the entire domain upon conditional deletion of Kcnq1ot1 RNA.	mouse embryo	NULL	ChOP and ChIP assays	22721776
KTN1-AS1	MYC	DNA-TF	Binding	Homo sapiens	Luciferase assays showing MYC-dependent regulation of 5'  promoter activities of MYCLo-1 (L), -2 (M), and -3 (N).  suggesting that the MYC-induced MYCLos are directly regulated by the transcription enhancer MYC at the transcription level.	CRC tissues	NULL	ChIP	25663692
KTN1-AS1	MYC	DNA-TF	Binding	Homo sapiens	presence of a MYC binding ChIP-seq peak proximal (+/- 0.11kb) to the lncRNA TSS.	NULL	NULL	ChIP-seq	25587025
LINC00261	SMAD2	RNA-TF	Binding	Homo sapiens	DEANR1 regulates FOXA2 expression by recruiting SMAD2/3 to FOXA2 promoter	NULL	Facilitates Human Endoderm Differentiation	RIP	25843708
LINC00261	SMAD3	RNA-TF	Binding	Homo sapiens	DEANR1 regulates FOXA2 expression by recruiting SMAD2/3 to FOXA2 promoter	NULL	Facilitates Human Endoderm Differentiation	RIP	25843708
LINC00441	CALR	RNA-Protein	Regulation	Homo sapiens	ncRNA-RB1 positively regulates the expression of calreticulin (CALR) that in response to certain therapeutic interventions can translocate from the endoplasmic reticulum to the cell surface, hence activating anticancer immune responses.		activating anticancer immune responses	in vitro and vivo	25579178
LINC00467	MYCN	DNA-TF	Binding	Homo sapiens	N-Myc suppressed linc00467 gene expression through direct binding to the linc00467 gene promoter and reducing linc00467 promoter activity.	neuroblastoma cells	knocking-down linc00467 expression with siRNA in neuroblastoma cells reduced the number of viable cells and increased the percentage of apoptotic cells, and co-transfection with DKK1 siRNA blocked the effects.	chromatin immunoprecipitation	24586304
LINC00582	CTCF	RNA-TF	Binding	Homo sapiens	lincRNA-NR_034037 directly interacts with CTCF	Endometrial carcinoma	NULL	RIP	25239642
LINC00582	TSNAX-DISC1	RNA-Protein	Regulation	Homo sapiens	lincRNA-NR_034037 regulates TSNAX-DISC1 formation programs that tightly regulate EC development	Endometrial carcinoma	NULL	in vitro	25239642
LINC00974	MIR642A	RNA-RNA	Binding	Homo sapiens	Linc00974 affected KRT19 expression by acting as a competing endogenous RNA (ceRNA) interacting with miR-642.	Hepatocellular carcinoma (HCC)	an inhibition of tumor growth and metastasis	RNA immunoprecipitation	25476897
LINC01108	SOX2	RNA-TF	Binding	Homo sapiens	lncRNA_ES1 and lncRNA_ES2 were physically associated with SUZ12 and SOX2, but not OCT4	hEsCs	NULL	RIP	22193719
LINC01108	SUZ12	RNA-Protein	Binding	Homo sapiens	lncRNA_ES1 and lncRNA_ES2 were physically associated with SUZ12 and SOX2, but not OCT4	hEsCs	NULL	RIP	22193719
LINC01109	REST	RNA-TF	Binding	Homo sapiens	lncRNA_N1 associates with the REST/coREST complex to regulate gene expression and neural cell fate specificatio	hEsCs	NULL	RIP	22193719
LINC01158	EZH2	RNA-Protein	Binding	Homo sapiens	Linc-POU3F3 physically associates with EZH2	NULL	Overexpression of linc-POU3F3 in cell lines increased their proliferation and ability to form colonies, and reduced expression of POU3F3 mRNA	RNA immunoprecipitation	24631494
linc1253?	Pou5f1	DNA-TF	Binding	Mus musculus	coactivator function of Pontin is mediated by Oct4 binding to the?linc1253?promoter.	embryonic stem (ES) cells		promoter-luciferase reporters	25857206
LINCMD1	MIR135A1	RNA-RNA	Binding	Homo sapiens	linc-MD1 sponges miR-133 and miR-135 to regulate the expression of mastermind-like-1(MAML1) and myocyte-specific enhancer factor 2C (MEF2C), which are transcription factors that activate muscle-specific gene expression in mouse and human myoblasts	muscle	governs the time of muscle differentiation	in vitro	22000014
LINCMD1	MIR135A2	RNA-RNA	Binding	Homo sapiens	linc-MD1 sponges miR-133 and miR-135 to regulate the expression of mastermind-like-1(MAML1) and myocyte-specific enhancer factor 2C (MEF2C), which are transcription factors that activate muscle-specific gene expression in mouse and human myoblasts	muscle	Downregulation or overexpression of linc-MD1 correlate with retardation or anticipation of the muscle differentiation program.	in vitro	22000014
LINCMD1	MIR133B	RNA-RNA	Binding	Homo sapiens	linc-MD1 sponges miR-133 and miR-135 to regulate the expression of mastermind-like-1(MAML1) and myocyte-specific enhancer factor 2C (MEF2C), which are transcription factors that activate muscle-specific gene expression in mouse and human myoblasts	muscle	Downregulation or overexpression of linc-MD1 correlate with retardation or anticipation of the muscle differentiation program.	in vitro	22000014
Linc-md1	Mir135a-1	RNA-RNA	Binding	Mus musculus	linc-MD1 sponges miR-133 and miR-135 to regulate the expression of mastermind-like-1(MAML1) and myocyte-specific enhancer factor 2C (MEF2C), which are transcription factors that activate muscle-specific gene expression in mouse and human myoblasts	muscle	NULL	in vitro	22000014
Linc-md1	Mir133b	RNA-RNA	Binding	Mus musculus	linc-MD1 sponges miR-133 and miR-135 to regulate the expression of mastermind-like-1(MAML1) and myocyte-specific enhancer factor 2C (MEF2C), which are transcription factors that activate muscle-specific gene expression in mouse and human myoblasts	muscle	NULL	in vitro	22000014
Linc-md1	Mir135a-2	RNA-RNA	Binding	Mus musculus	linc-MD1 sponges miR-133 and miR-135 to regulate the expression of mastermind-like-1(MAML1) and myocyte-specific enhancer factor 2C (MEF2C), which are transcription factors that activate muscle-specific gene expression in mouse and human myoblasts	muscle	NULL	in vitro	22000014
Linc-md1	Mir133b	RNA-RNA	Binding	Mus musculus	HuR is negatively controlled by miR-133, and that linc-MD1, through miR-133 sponging, positively controls HuR levels during early stages of muscle differentiation. In turn, HuR controls linc-MD1 by favoring its accumulation in the cytoplasm at the expense of miR-133b synthesis.	C2C12 murine myoblasts 	NULL	RIP, Biotin-RNA Pull-Down Assay,qRT-PCR,EMSA	24440503
Lncpint	Trp53	DNA-TF	Binding	Mus musculus	lincRNA-p21 and lincRNA-Mkln1 are bona fide p53 transcriptional targets	NULL	NULL	ChIP	20673990
LINC-PINT	TP53	DNA-TF	Binding	Homo sapiens	lincRNA-p21 and lincRNA-Mkln1 are bona fide p53 transcriptional targets	NULL	NULL	ChIP	20673990
LincRNA-1	Trp53	DNA-TF	Binding	Mus musculus	we identified a subset of 22 up-regulated and only 1 down-regulated lincRNA that are direct targets of p53	GM00011 fibroblasts	?in response to DNA damage	ChIP-qPCR	25883152
LincRNA-1	TP53	DNA-TF	Binding	Homo sapiens	we identified a subset of 22 up-regulated and only 1 down-regulated lincRNA that are direct targets of p53	GM00011 fibroblasts	?in response to DNA damage	ChIP-qPCR	25883152
LincRNA-4	Trp53	DNA-TF	Binding	Mus musculus	we identified a subset of 22 up-regulated and only 1 down-regulated lincRNA that are direct targets of p53	GM00011 fibroblasts	?in response to DNA damage	ChIP-qPCR	25883152
LincRNA-4	TP53	DNA-TF	Binding	Homo sapiens	we identified a subset of 22 up-regulated and only 1 down-regulated lincRNA that are direct targets of p53	GM00011 fibroblasts	?in response to DNA damage	ChIP-qPCR	25883152
LincRNA-7	Trp53	DNA-TF	Binding	Mus musculus	we identified a subset of 22 up-regulated and only 1 down-regulated lincRNA that are direct targets of p53	GM00011 fibroblasts	?in response to DNA damage	ChIP-qPCR	25883152
LincRNA-7	TP53	DNA-TF	Binding	Homo sapiens	we identified a subset of 22 up-regulated and only 1 down-regulated lincRNA that are direct targets of p53	GM00011 fibroblasts	?in response to DNA damage	ChIP-qPCR	25883152
lincRNA-UFC1	MIR34A	RNA-RNA	Binding	Homo sapiens	The lincRNA-UFC1 interacted directly with the messenger RNA (mRNA) stabilizing protein HuR (encoded by ELAVL1) to increase levels of beta-catenin mRNA (encoded by CTNNB1) and protein	hepatocellular carcinoma	Tumors grown  were smaller	RNA immunoprecipitation	25449213
lincRNA-UFC1	CTNNB1	RNA-Protein	Regulation	Homo sapiens	The lincRNA-UFC1 interacted directly with the messenger RNA (mRNA) stabilizing protein HuR (encoded by ELAVL1) to increase levels of beta-catenin mRNA (encoded by CTNNB1) and protein	NULL	Tumors grown  were smaller	RNA immunoprecipitation	25449213
lincRNA-UFC1	ELAVL1	RNA-Protein	Regulation	Homo sapiens	The lincRNA-UFC1 interacted directly with the messenger RNA (mRNA) stabilizing protein HuR (encoded by ELAVL1) to increase levels of beta-catenin mRNA (encoded by CTNNB1) and protein	NULL	Tumors grown  were smaller	RNA immunoprecipitation	25449213
LINC-ROR	POU5F1	RNA-TF	Regulation	Homo sapiens	linc-RoR forms a feedback loop with core TFs and miRNAs to regulate ESC maintenanceand differentiation	ESC	ESC maintenanceand differentiation	in vitro	23541921
